Country Name,Year,CO2 emissions (metric tons per capita),CO2 emissions (kt),Urban population (% of total population),Population growth (annual %),Total greenhouse gas emissions (kt of CO2 equivalent),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",Methane emissions (kt of CO2 equivalent),CO2 intensity (kg per kg of oil equivalent energy use),Energy use (kg of oil equivalent per capita)
Madagascar,82000,7.102126278775197,111212.4637980606,1137.8480000000002,118.46157634500001,1396083.990169324,216719.6750697508,718706.0232004966,65.54132684227027,8193.05732084642
Malawi,82000,3.2193994714646634,77411.19534589724,562.0559999999999,114.69936097099999,562582.9030636654,54851.16657608111,300257.8651569291,61.946784806281215,3794.582331447109
Malaysia,82000,201.410872557003,4831651.352022477,2482.5460000000003,87.73835027999999,7648472.323281567,841505.6110816476,1346470.8467099033,100.5046998317841,83874.35722425932
Maldives,82000,67.26334394453464,68613.54722408755,1256.3030000000003,126.03321220100003,323487.08057728945,150673.8725144471,52943.74375181206,74.35699337464743,29869.37393074932
Mali,82000,8.288266693424836,106892.72378991678,1217.794,106.853258495,1188464.8449092351,199561.89426779482,563871.6708136698,67.8379816897196,9532.762622214294
Malta,82000,224.68425702705576,137407.72656324512,3781.953000000001,51.66457266599999,244688.09073550638,30624.93633471823,52513.78653508487,123.96773790004822,77485.09727985215
Marshall Islands,82000,118.3585154262184,55021.34658159928,2822.961,69.924744691,236060.18689242384,202471.01004349504,82682.80108250714,99.13172741322369,57507.245625140815
Mauritania,82000,28.695866340377915,111939.44475620694,1706.925,113.38829156999998,494772.79414792714,40707.77980550578,238738.6165865309,71.15303967323123,19160.134608007957
Mauritius,82000,76.07424505037852,133058.78137269922,1731.7559999999999,28.706812744000004,310176.06543994986,66396.88396654569,94602.39322697256,87.10758451897345,34903.54392021464
Mexico,82000,159.23911220452646,14726632.425337277,3050.8520000000008,66.776059799,20902588.374507453,841326.0025912909,4315777.302427882,103.21608777340465,65938.44927764688
"Micronesia, Fed. Sts.",82000,56.57685355710397,46542.94133801857,980.672,48.92892672099998,254475.38340201386,248377.44686248185,89022.23547992097,76.64949569045078,23787.493369702835
Moldova,82000,140.23598339374706,523139.90903716616,1800.267,-3.238987802999997,1090594.5170489582,188091.32533551275,193452.94927176737,98.63263846356742,56175.9245881603
Mongolia,82000,196.28052979544287,512396.9524301202,2484.969,68.879828363,1589389.9033465562,295008.02479247353,444480.969072413,130.98003457499692,64520.62618800503
Montenegro,82000,89.03967330425331,311619.57987597643,2288.174,9.232486034999999,1074835.311265816,236329.12615346682,323177.85813555314,90.13242585347808,44183.24607386252
Morocco,82000,55.275434032905395,1490743.6179850127,2175.5200000000004,63.721472588,2341540.558305603,43082.33330535985,521070.81253785413,118.99437908177637,22268.931190356365
Mozambique,82000,7.5180849406297865,133704.78755868078,1130.1170000000002,101.37330927199999,1215816.0309441898,185012.5049670346,514848.9334382443,17.6868349557794,19484.000045374672
Myanmar,82000,9.742583081582932,421268.3594946768,1111.9330000000002,48.555420328000004,10319347.709738122,6593050.984685185,2445669.8288817354,32.223097109301236,13291.04296079175
Namibia,82000,65.67761822547043,140069.05821095672,1436.54,89.775710268,600995.9911584812,75265.46144227443,226422.2660758973,77.123523876943,30719.049130979452
Nauru,82000,390.3565769699951,58826.45303790658,4100.0,35.112587581999996,249439.2843734526,142807.2372001357,44762.47530851176,114.74875710730106,174445.35824413731
Nepal,82000,5.338658219787571,165931.00177886756,534.6740000000001,68.57252450899999,1375257.468824582,45113.949117727905,929625.103419532,20.090345498618035,13951.022116012482
Netherlands,82000,405.51949309214297,6254823.487888359,3196.679,21.704455436,8158362.815638351,213838.52012532743,1012125.514566841,93.4447637980751,183726.36065558766
New Caledonia,82000,217.21019969327963,785231.040320268,2592.5099999999998,67.47846710299999,2557257.347402302,669324.0546856518,747507.8667803212,93.17977042456823,97420.50052598909
New Zealand,82000,286.1122723301708,1125886.008385827,3504.604,45.8194547397597,3050195.870576368,41473.97082530838,1279341.7327055219,77.12364489442493,156663.7360078739
Nicaragua,82000,32.34073121708192,183206.20694627528,2253.4600000000005,73.660865683,657012.6776312921,45255.870908942365,299334.5392891434,57.93974547313033,24419.09415014399
Niger,82000,3.5503488406822403,81813.33597505199,643.3949999999999,142.55391142500005,986748.0668892583,45672.62722407876,596850.4432203926,46.28330407521654,3939.6409565978174
Nigeria,82000,32.24508812363342,3342968.963354802,1485.205,106.08000686200002,8313486.203743081,344303.1543966784,3742636.109704336,45.42696371077437,30907.523555634856
